text,sentiment
I absolutely love this phone,Positive
Amazing product,Positive
Fantastic experience,Positive
Excellent customer support,Positive
Wonderful application,Positive
Beautiful design,Positive
Fascinating features,Positive
Marvelous performance,Positive
Incredible quality,Positive
Outstanding service,Positive
Brilliant product,Positive
Superb experience,Positive
Highly recommended,Positive
Very impressive,Positive
Best purchase ever,Positive
I am very satisfied,Positive
Extremely useful,Positive
Perfect application,Positive
This product is awesome,Positive
Great battery life,Positive
I hate this app,Negative
Worst experience ever,Negative
Terrible service,Negative
Awful performance,Negative
Very disappointing,Negative
Horrible quality,Negative
Waste of money,Negative
Bad customer support,Negative
Extremely poor product,Negative
Pathetic experience,Negative
This is useless,Negative
Very frustrating,Negative
Not worth buying,Negative
Application crashes often,Negative
Poor battery life,Negative
I regret buying this,Negative
Very slow system,Negative
This product is broken,Negative
Unacceptable performance,Negative
Cheap quality,Negative
The product is okay,Neutral
Average experience,Neutral
Nothing special,Neutral
The app is normal,Neutral
Moderate performance,Neutral
Acceptable quality,Neutral
The service is fine,Neutral
Not bad not good,Neutral
The design is simple,Neutral
Basic functionality,Neutral
Standard application,Neutral
Ordinary experience,Neutral
It works as expected,Neutral
Average customer support,Neutral
Decent performance,Neutral
Typical product,Neutral
The experience was neutral,Neutral
Neither impressive nor disappointing,Neutral
General quality,Neutral
It is manageable,Neutral
